manip;HE;conc_mg_L;DO
manip 0422;M6 ;0;0,278
manip 0422;M6 ;0;0,263
manip 0422;M6 ;0;0,269
manip 0422;M6 ;0;0,282
manip 0422;M6 ;0,4225;0,28
manip 0422;M6 ;0,4225;0,263
manip 0422;M6 ;0,4225;0,285
manip 0422;M6 ;0,4225;0,284
manip 0422;M6 ;0,845;0,2935
manip 0422;M6 ;0,845;0,2565
manip 0422;M6 ;0,845;0,2815
manip 0422;M6 ;0,845;0,2625
manip 0422;M6 ;1,69;0,335
manip 0422;M6 ;1,69;0,283
manip 0422;M6 ;1,69;0,288
manip 0422;M6 ;1,69;0,274
manip 0422;M6 ;3,38;0,2765
manip 0422;M6 ;3,38;0,2685
manip 0422;M6 ;3,38;0,2535
manip 0422;M6 ;3,38;0,2715
manip 0422;M6 ;6,75;0,308
manip 0422;M6 ;6,75;0,269
manip 0422;M6 ;6,75;0,294
manip 0422;M6 ;6,75;0,284
manip 0422;M6 ;13,5;0,256
manip 0422;M6 ;13,5;0,25
manip 0422;M6 ;13,5;0,273
manip 0422;M6 ;13,5;0,266
manip 0422;M6 ;27;0,3195
manip 0422;M6 ;27;0,3305
manip 0422;M6 ;27;0,2715
manip 0422;M6 ;27;0,3035
manip 0422;M6 ;54;0,2385
manip 0422;M6 ;54;0,2295
manip 0422;M6 ;54;0,2575
manip 0422;M6 ;54;0,2265
manip 0422;M6 ;108;0,252
manip 0422;M6 ;108;0,289
manip 0422;M6 ;108;0,246
manip 0422;M6 ;108;0,261
manip 0422;M6 ;216;0,1525
manip 0422;M6 ;216;0,0995
manip 0422;M6 ;216;0,2115
manip 0422;M6 ;216;0,2365
manip 0422;M6 ;432;0,0285
manip 0422;M6 ;432;0,0455
manip 0422;M6 ;432;0,1765
manip 0422;M6 ;432;0,1875
manip 0422;M7;0;0,2725
manip 0422;M7;0;0,2885
manip 0422;M7;0;0,2725
manip 0422;M7;0;0,2725
manip 0422;M7;0,4025;0,2865
manip 0422;M7;0,4025;0,2985
manip 0422;M7;0,4025;0,3665
manip 0422;M7;0,4025;0,2605
manip 0422;M7;0,805;0,315
manip 0422;M7;0,805;0,261
manip 0422;M7;0,805;0,3
manip 0422;M7;0,805;0,251
manip 0422;M7;1,61;0,298
manip 0422;M7;1,61;0,299
manip 0422;M7;1,61;0,309
manip 0422;M7;1,61;0,264
manip 0422;M7;3,22;0,278
manip 0422;M7;3,22;0,255
manip 0422;M7;3,22;0,259
manip 0422;M7;3,22;0,273
manip 0422;M7;6,44;0,2585
manip 0422;M7;6,44;0,2585
manip 0422;M7;6,44;0,2415
manip 0422;M7;6,44;0,2555
manip 0422;M7;12,88;0,28
manip 0422;M7;12,88;0,247
manip 0422;M7;12,88;0,257
manip 0422;M7;12,88;0,251
manip 0422;M7;25,75;0,273
manip 0422;M7;25,75;0,292
manip 0422;M7;25,75;0,277
manip 0422;M7;25,75;0,296
manip 0422;M7;51,5;0,274
manip 0422;M7;51,5;0,273
manip 0422;M7;51,5;0,241
manip 0422;M7;51,5;0,274
manip 0422;M7;103;0,1485
manip 0422;M7;103;0,2085
manip 0422;M7;103;0,1795
manip 0422;M7;103;0,2385
manip 0422;M7;206;0,036
manip 0422;M7;206;0,062
manip 0422;M7;206;0,047
manip 0422;M7;206;0,071
manip 0422;M7;412;0,008
manip 0422;M7;412;
manip 0422;M7;412;0,015
manip 0422;M7;412;0,02
manip 0422;M8;0;0,303
manip 0422;M8;0;0,264
manip 0422;M8;0;0,247
manip 0422;M8;0;0,3
manip 0422;M8;0,4225;0,2665
manip 0422;M8;0,4225;0,3415
manip 0422;M8;0,4225;0,2975
manip 0422;M8;0,4225;0,2265
manip 0422;M8;0,845;0,26
manip 0422;M8;0,845;0,252
manip 0422;M8;0,845;0,211
manip 0422;M8;0,845;0,196
manip 0422;M8;1,69;0,2625
manip 0422;M8;1,69;0,2395
manip 0422;M8;1,69;0,2495
manip 0422;M8;1,69;0,2275
manip 0422;M8;3,38;0,243
manip 0422;M8;3,38;0,259
manip 0422;M8;3,38;0,225
manip 0422;M8;3,38;0,195
manip 0422;M8;6,75;0,2285
manip 0422;M8;6,75;0,2105
manip 0422;M8;6,75;
manip 0422;M8;6,75;0,2055
manip 0422;M8;13,5;0,1915
manip 0422;M8;13,5;0,1685
manip 0422;M8;13,5;0,1875
manip 0422;M8;13,5;0,2095
manip 0422;M8;27;0,183
manip 0422;M8;27;0,161
manip 0422;M8;27;0,166
manip 0422;M8;27;0,245
manip 0422;M8;54;0,0095
manip 0422;M8;54;0,0095
manip 0422;M8;54;0,0145
manip 0422;M8;54;0,0255
manip 0422;M8;108;0,0165
manip 0422;M8;108;0,0185
manip 0422;M8;108;0,0175
manip 0422;M8;108;0,0115
manip 0422;M8;216;0,0075
manip 0422;M8;216;0,0075
manip 0422;M8;216;0,0155
manip 0422;M8;216;0,0045
manip 0422;M8;432;-0,0065
manip 0422;M8;432;-0,0135
manip 0422;M8;432;0,0005
manip 0422;M8;432;-0,0135
manip 0422;M9;0;0,286
manip 0422;M9;0;0,314
manip 0422;M9;0;0,296
manip 0422;M9;0;0,29
manip 0422;M9;0,4025;0,2685
manip 0422;M9;0,4025;0,2595
manip 0422;M9;0,4025;0,2795
manip 0422;M9;0,4025;0,2825
manip 0422;M9;0,805;0,2465
manip 0422;M9;0,805;0,2855
manip 0422;M9;0,805;0,2555
manip 0422;M9;0,805;0,2275
manip 0422;M9;1,61;0,332
manip 0422;M9;1,61;0,278
manip 0422;M9;1,61;0,27
manip 0422;M9;1,61;0,266
manip 0422;M9;3,22;0,2685
manip 0422;M9;3,22;0,2495
manip 0422;M9;3,22;0,2365
manip 0422;M9;3,22;0,2575
manip 0422;M9;6,44;0,2575
manip 0422;M9;6,44;0,2805
manip 0422;M9;6,44;0,2235
manip 0422;M9;6,44;0,2455
manip 0422;M9;12,88;0,259
manip 0422;M9;12,88;0,274
manip 0422;M9;12,88;0,24
manip 0422;M9;12,88;0,251
manip 0422;M9;25,75;0,2245
manip 0422;M9;25,75;0,2515
manip 0422;M9;25,75;0,2145
manip 0422;M9;25,75;0,2255
manip 0422;M9;51,5;0,169
manip 0422;M9;51,5;0,211
manip 0422;M9;51,5;0,209
manip 0422;M9;51,5;0,192
manip 0422;M9;103;0,06
manip 0422;M9;103;0,07
manip 0422;M9;103;0,051
manip 0422;M9;103;0,068
manip 0422;M9;206;0,019
manip 0422;M9;206;0,014
manip 0422;M9;206;0,009
manip 0422;M9;206;0,009
manip 0422;M9;412;0,0155
manip 0422;M9;412;0,0065
manip 0422;M9;412;0,0065
manip 0422;M9;412;0,0035
manip 0422;M10;0;0,252
manip 0422;M10;0;0,217
manip 0422;M10;0;0,227
manip 0422;M10;0;0,272
manip 0422;M10;0,4225;0,269
manip 0422;M10;0,4225;0,218
manip 0422;M10;0,4225;0,238
manip 0422;M10;0,4225;0,222
manip 0422;M10;0,845;0,2235
manip 0422;M10;0,845;0,1895
manip 0422;M10;0,845;0,1775
manip 0422;M10;0,845;0,1975
manip 0422;M10;1,69;0,2415
manip 0422;M10;1,69;0,2065
manip 0422;M10;1,69;0,2175
manip 0422;M10;1,69;0,2055
manip 0422;M10;3,38;0,223
manip 0422;M10;3,38;0,214
manip 0422;M10;3,38;0,217
manip 0422;M10;3,38;0,218
manip 0422;M10;6,75;0,2105
manip 0422;M10;6,75;0,1835
manip 0422;M10;6,75;0,2205
manip 0422;M10;6,75;0,1915
manip 0422;M10;13,5;0,124
manip 0422;M10;13,5;0,139
manip 0422;M10;13,5;0,164
manip 0422;M10;13,5;0,13
manip 0422;M10;27;0,0205
manip 0422;M10;27;0,0165
manip 0422;M10;27;0,0185
manip 0422;M10;27;0,0375
manip 0422;M10;54;0,008
manip 0422;M10;54;0,01
manip 0422;M10;54;0,01
manip 0422;M10;54;0,009
manip 0422;M10;108;0,011
manip 0422;M10;108;0,012
manip 0422;M10;108;0,018
manip 0422;M10;108;0,007
manip 0422;M10;216;0,0015
manip 0422;M10;216;0,0165
manip 0422;M10;216;0,0155
manip 0422;M10;216;-0,0035
manip 0422;M11;0;0,253
manip 0422;M11;0;0,225
manip 0422;M11;0;0,243
manip 0422;M11;0;0,222
manip 0422;M11;0,4025;0,256
manip 0422;M11;0,4025;0,275
manip 0422;M11;0,4025;0,252
manip 0422;M11;0,4025;0,215
manip 0422;M11;0,805;0,227
manip 0422;M11;0,805;0,233
manip 0422;M11;0,805;0,215
manip 0422;M11;0,805;0,197
manip 0422;M11;1,61;0,2825
manip 0422;M11;1,61;0,2405
manip 0422;M11;1,61;0,2615
manip 0422;M11;1,61;0,2485
manip 0422;M11;3,22;0,24
manip 0422;M11;3,22;0,236
manip 0422;M11;3,22;0,231
manip 0422;M11;3,22;0,213
manip 0422;M11;6,44;0,253
manip 0422;M11;6,44;0,189
manip 0422;M11;6,44;0,192
manip 0422;M11;6,44;0,22
manip 0422;M11;12,88;0,2355
manip 0422;M11;12,88;0,2005
manip 0422;M11;12,88;0,1705
manip 0422;M11;12,88;0,1955
manip 0422;M11;25,75;0,1545
manip 0422;M11;25,75;0,0805
manip 0422;M11;25,75;0,0715
manip 0422;M11;25,75;0,1235
manip 0422;M11;51,5;0,0075
manip 0422;M11;51,5;0,0175
manip 0422;M11;51,5;0,0105
manip 0422;M11;51,5;0,0095
manip 0422;M11;103;0,0105
manip 0422;M11;103;0,0155
manip 0422;M11;103;0,0135
manip 0422;M11;103;0,0055
manip 0422;M11;206;0,009
manip 0422;M11;206;0,012
manip 0422;M11;206;0,012
manip 0422;M11;206;0,006
manip 0422;M11;412;-0,006
manip 0422;M11;412;-0,003
manip 0422;M11;412;-0,009
manip 0422;M11;412;-0,01
manip 0422;Cu;0;0,263
manip 0422;Cu;0;0,276
manip 0422;Cu;0;0,223
manip 0422;Cu;0;0,306
manip 0422;Cu;1;0,268
manip 0422;Cu;1;0,253
manip 0422;Cu;1;0,225
manip 0422;Cu;1;0,241
manip 0422;Cu;2;0,2505
manip 0422;Cu;2;0,2075
manip 0422;Cu;2;0,2035
manip 0422;Cu;2;0,1895
manip 0422;Cu;3,90625;0,254
manip 0422;Cu;3,90625;0,235
manip 0422;Cu;3,90625;0,217
manip 0422;Cu;3,90625;0,23
manip 0422;Cu;7,8125;0,2065
manip 0422;Cu;7,8125;0,2195
manip 0422;Cu;7,8125;0,2075
manip 0422;Cu;7,8125;0,1755
manip 0422;Cu;15,625;0,175
manip 0422;Cu;15,625;0,186
manip 0422;Cu;15,625;0,171
manip 0422;Cu;15,625;0,175
manip 0422;Cu;31,25;0,1945
manip 0422;Cu;31,25;0,1365
manip 0422;Cu;31,25;0,1715
manip 0422;Cu;31,25;0,1365
manip 0422;Cu;62,5;0,121
manip 0422;Cu;62,5;0,108
manip 0422;Cu;62,5;0,107
manip 0422;Cu;62,5;0,14
manip 0422;Cu;125;0,05
manip 0422;Cu;125;0,05
manip 0422;Cu;125;0,064
manip 0422;Cu;125;0,063
manip 0422;Cu;250;0,011
manip 0422;Cu;250;0,016
manip 0422;Cu;250;0,018
manip 0422;Cu;250;0,016
manip 0422;Cu;500;0,016
manip 0422;Cu;500;0,016
manip 0422;Cu;500;0,014
manip 0422;Cu;500;0,016
manip 0422;Cu;1000;0,012
manip 0422;Cu;1000;0,006
manip 0422;Cu;1000;0,013
manip 0422;Cu;1000;0,007
manip 0506;M6 ;0;0,281
manip 0506;M6 ;0;0,268
manip 0506;M6 ;0;0,271
manip 0506;M6 ;0;
